origem;data;documento;produto;codigo;categoria;quantidade;valor_unitario;valor_total;vendedor;ano;mes;revisar
Vendas_MAIO_2026.csv;2026-05-16;CF17952;Dipirona 500mg 20cp;7891000100103;Genericos;5,00;12,90;64,50;Ana;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-16;CF18158;Omeprazol 20mg 28cp;7891000100408;Genericos;2,00;22,40;44,80;Diego;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-17;CF55020;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;5,00;41,80;209,00;Diego;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-19;CF83434;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;2,00;41,80;83,60;Carla;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-20;CF23419;Dipirona 500mg 20cp;7891000100103;Genericos;6,00;12,90;77,40;Ana;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-22;CF12957;Vitamina D 2000UI 60cp;7891000100604;Medicamentos;7,00;48,60;340,20;Carla;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-22;CF11581;Losartana 50mg 30cp;7891000100202;Genericos;4,00;18,50;74,00;Bruno;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-23;CF83972;Dipirona 500mg 20cp;7891000100103;Genericos;9,00;12,90;116,10;Ana;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-25;CF20728;Losartana 50mg 30cp;7891000100202;Genericos;12,00;18,50;222,00;Bruno;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-25;CF26952;Dipirona 500mg 20cp;7891000100103;Genericos;4,00;12,90;51,60;Carla;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-25;CF71027;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;7,00;41,80;292,60;Carla;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-26;CF19012;Omeprazol 20mg 28cp;7891000100408;Genericos;10,00;22,40;224,00;Diego;2026;2026-05;
Vendas_MAIO_2026.csv;2026-05-27;CF82118;Protetor solar FPS 50;7891000100305;Dermocosmeticos;3,00;74,90;224,70;Diego;2026;2026-05;
vendas junho (2).csv;2026-06-01;CF37889;Losartana 50mg 30cp;7891000100202;Genericos;4,00;18,50;74,00;Carla;2026;2026-06;
vendas junho (2).csv;2026-06-01;CF32589;Losartana 50mg 30cp;7891000100202;Genericos;10,00;18,50;185,00;Bruno;2026;2026-06;
vendas junho (2).csv;2026-06-04;CF44702;Dipirona 500mg 20cp;7891000100103;Genericos;3,00;12,90;38,70;Carla;2026;2026-06;
vendas junho (2).csv;2026-06-04;CF36125;Dipirona 500mg 20cp;7891000100103;Genericos;11,00;12,90;141,90;Diego;2026;2026-06;
vendas junho (2).csv;2026-06-04;CF66860;Vitamina D 2000UI 60cp;7891000100604;Medicamentos;11,00;48,60;534,60;Bruno;2026;2026-06;
vendas junho (2).csv;2026-06-04;CF71614;Dipirona 500mg 20cp;7891000100103;Genericos;4,00;12,90;51,60;Bruno;2026;2026-06;
vendas junho (2).csv;2026-06-05;CF11866;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;9,00;41,80;376,20;Ana;2026;2026-06;
vendas junho (2).csv;2026-06-05;CF67688;Losartana 50mg 30cp;7891000100202;Genericos;9,00;18,50;166,50;Ana;2026;2026-06;
vendas junho (2).csv;2026-06-05;CF79220;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;6,00;41,80;250,80;Ana;2026;2026-06;
vendas junho (2).csv;2026-06-06;CF36897;Omeprazol 20mg 28cp;7891000100408;Genericos;12,00;22,40;268,80;Ana;2026;2026-06;
vendas junho (2).csv;2026-06-06;CF13610;Vitamina D 2000UI 60cp;7891000100604;Medicamentos;3,00;48,60;145,80;Bruno;2026;2026-06;
vendas junho (2).csv;2026-06-06;CF39201;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;6,00;41,80;250,80;Carla;2026;2026-06;
vendas junho (2).csv;2026-06-07;CF91797;Losartana 50mg 30cp;7891000100202;Genericos;6,00;18,50;111,00;Diego;2026;2026-06;
vendas junho (2).csv;2026-06-08;CF46296;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;1,00;41,80;41,80;Bruno;2026;2026-06;
vendas junho (2).csv;2026-06-08;CF43995;Protetor solar FPS 50;7891000100305;Dermocosmeticos;9,00;74,90;674,10;Carla;2026;2026-06;
vendas junho (2).csv;2026-06-09;CF89316;Protetor solar FPS 50;7891000100305;Dermocosmeticos;8,00;74,90;599,20;Bruno;2026;2026-06;
vendas junho (2).csv;2026-06-12;CF13661;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;8,00;41,80;334,40;Ana;2026;2026-06;
vendas junho (2).csv;2026-06-14;CF21370;Omeprazol 20mg 28cp;7891000100408;Genericos;3,00;22,40;67,20;Carla;2026;2026-06;
vendas junho (2).csv;2026-06-15;CF75752;Vitamina D 2000UI 60cp;7891000100604;Medicamentos;6,00;48,60;291,60;Diego;2026;2026-06;
vendas junho (2).csv;2026-06-15;CF21130;Vitamina D 2000UI 60cp;7891000100604;Medicamentos;7,00;48,60;340,20;Diego;2026;2026-06;
vendas junho (2).csv;2026-06-15;CF90160;Losartana 50mg 30cp;7891000100202;Genericos;10,00;18,50;185,00;Bruno;2026;2026-06;
vendas junho (2).csv;2026-06-16;CF94296;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;1,00;41,80;41,80;Carla;2026;2026-06;
vendas junho (2).csv;2026-06-16;CF50875;Omeprazol 20mg 28cp;7891000100408;Genericos;8,00;22,40;179,20;Diego;2026;2026-06;
vendas junho (2).csv;2026-06-16;CF25119;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;6,00;41,80;250,80;Ana;2026;2026-06;
vendas junho (2).csv;2026-06-17;CF83626;Dipirona 500mg 20cp;7891000100103;Genericos;2,00;12,90;25,80;Diego;2026;2026-06;
vendas junho (2).csv;2026-06-20;CF82938;Losartana 50mg 30cp;7891000100202;Genericos;8,00;18,50;148,00;Ana;2026;2026-06;
vendas junho (2).csv;2026-06-21;CF55533;Omeprazol 20mg 28cp;7891000100408;Genericos;3,00;22,40;67,20;Carla;2026;2026-06;
vendas junho (2).csv;2026-06-22;CF30435;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;8,00;41,80;334,40;Carla;2026;2026-06;
vendas junho (2).csv;2026-06-22;CF23907;Dipirona 500mg 20cp;7891000100103;Genericos;6,00;12,90;77,40;Diego;2026;2026-06;
vendas junho (2).csv;2026-06-25;CF93419;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;9,00;41,80;376,20;Carla;2026;2026-06;
vendas junho (2).csv;2026-06-26;CF57793;Protetor solar FPS 50;7891000100305;Dermocosmeticos;8,00;74,90;599,20;Carla;2026;2026-06;
vendas junho (2).csv;2026-06-26;CF36203;Omeprazol 20mg 28cp;7891000100408;Genericos;12,00;22,40;268,80;Bruno;2026;2026-06;
vendas junho (2).csv;2026-06-26;CF41377;Losartana 50mg 30cp;7891000100202;Genericos;10,00;18,50;185,00;Bruno;2026;2026-06;
vendas junho (2).csv;2026-06-27;CF17982;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;7,00;41,80;292,60;Bruno;2026;2026-06;
vendas junho (2).csv;2026-06-28;CF44224;Protetor solar FPS 50;7891000100305;Dermocosmeticos;11,00;74,90;823,90;Ana;2026;2026-06;
VENDAS-JULHO_final_v3.csv;2026-07-01;CF82620;Vitamina D 2000UI 60cp;7891000100604;Medicamentos;6,00;48,60;291,60;Carla;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-01;CF44151;Dipirona 500mg 20cp;7891000100103;Genericos;5,00;12,90;64,50;Ana;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-02;CF65747;Dipirona 500mg 20cp;7891000100103;Genericos;5,00;12,90;64,50;Bruno;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-03;CF97749;Losartana 50mg 30cp;7891000100202;Genericos;7,00;18,50;129,50;Bruno;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-05;CF52866;Protetor solar FPS 50;7891000100305;Dermocosmeticos;7,00;74,90;524,30;Diego;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-05;CF25941;Losartana 50mg 30cp;7891000100202;Genericos;8,00;18,50;148,00;Diego;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-05;CF27990;Vitamina D 2000UI 60cp;7891000100604;Medicamentos;6,00;48,60;291,60;Carla;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-06;CF50893;Protetor solar FPS 50;7891000100305;Dermocosmeticos;1,00;74,90;74,90;Bruno;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-08;CF31161;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;12,00;41,80;501,60;Ana;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-09;CF12011;Protetor solar FPS 50;7891000100305;Dermocosmeticos;1,00;74,90;74,90;Ana;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-09;CF15663;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;7,00;41,80;292,60;Bruno;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-09;CF33796;Dipirona 500mg 20cp;7891000100103;Genericos;5,00;12,90;64,50;Ana;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-11;CF97969;Omeprazol 20mg 28cp;7891000100408;Genericos;8,00;22,40;179,20;Ana;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-12;CF22084;Omeprazol 20mg 28cp;7891000100408;Genericos;4,00;22,40;89,60;Carla;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-15;CF54453;Protetor solar FPS 50;7891000100305;Dermocosmeticos;2,00;74,90;149,80;Ana;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-15;CF90285;Dipirona 500mg 20cp;7891000100103;Genericos;2,00;12,90;25,80;Carla;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-17;CF54448;Vitamina D 2000UI 60cp;7891000100604;Medicamentos;7,00;48,60;340,20;Diego;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-17;CF48005;Vitamina D 2000UI 60cp;7891000100604;Medicamentos;5,00;48,60;243,00;Bruno;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-17;CF83336;Losartana 50mg 30cp;7891000100202;Genericos;12,00;18,50;222,00;Carla;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-17;CF46331;Amoxicilina 500mg 21cp;7891000100500;Medicamentos;10,00;41,80;418,00;Bruno;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-18;CF76552;Omeprazol 20mg 28cp;7891000100408;Genericos;9,00;22,40;201,60;Diego;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-20;CF77143;Protetor solar FPS 50;7891000100305;Dermocosmeticos;9,00;74,90;674,10;Carla;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-22;CF45457;Omeprazol 20mg 28cp;7891000100408;Genericos;9,00;22,40;201,60;Bruno;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-22;CF31163;Omeprazol 20mg 28cp;7891000100408;Genericos;3,00;22,40;67,20;Bruno;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-23;CF60376;Omeprazol 20mg 28cp;7891000100408;Genericos;8,00;22,40;179,20;Ana;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-24;CF62200;Omeprazol 20mg 28cp;7891000100408;Genericos;4,00;22,40;89,60;Ana;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-25;CF94339;Protetor solar FPS 50;7891000100305;Dermocosmeticos;2,00;74,90;149,80;Bruno;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-26;CF23733;Dipirona 500mg 20cp;7891000100103;Genericos;2,00;12,90;25,80;Bruno;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-27;CF98601;Protetor solar FPS 50;7891000100305;Dermocosmeticos;3,00;74,90;224,70;Diego;2026;2026-07;
VENDAS-JULHO_final_v3.csv;2026-07-28;CF18732;Dipirona 500mg 20cp;7891000100103;Genericos;10,00;12,90;129,00;Bruno;2026;2026-07;
